real,imag
0.000000,0.000000
598.923525,0.000000
0.000000,0.000000
-5.181020,0.000000
0.000000,0.000000
-11.758474,0.000000
0.000000,0.000000
-168.574874,0.000000
0.000000,0.000000
-6.919200,0.000000
0.000000,0.000000
-87.306940,0.000000
0.000000,0.000000
-36.908948,0.000000
-0.000000,0.000000
-39.634603,0.000000
0.000000,0.000000
-3.748929,0.000000
-0.000000,0.000000
-44.581494,0.000000
0.000000,0.000000
-19.074515,0.000000
-0.000000,0.000000
-12.587037,0.000000
0.000000,0.000000
-9.302639,0.000000
0.000000,0.000000
-10.295971,0.000000
-0.000000,0.000000
-6.788671,0.000000
-0.000000,0.000000
-6.899010,0.000000
-0.000000,0.000000
-1.957117,0.000000
-0.000000,0.000000
-22.585969,0.000000
0.000000,0.000000
-9.704944,0.000000
-0.000000,0.000000
-4.641963,0.000000
0.000000,0.000000
-4.747513,0.000000
-0.000000,0.000000
-2.886430,0.000000
-0.000000,0.000000
-2.060350,0.000000
0.000000,0.000000
-1.318962,0.000000
0.000000,0.000000
-2.448093,0.000000
-0.000000,0.000000
-3.600688,0.000000
0.000000,0.000000
-1.962838,0.000000
-0.000000,0.000000
-0.990206,0.000000
0.000000,0.000000
-1.536631,0.000000
0.000000,0.000000
-1.437553,0.000000
-0.000000,0.000000
-1.251584,0.000000
0.000000,0.000000
-1.270849,0.000000
0.000000,0.000000
-1.001693,0.000000
-0.000000,0.000000
-11.385097,0.000000
-0.000000,0.000000
-4.902846,0.000000
-0.000000,0.000000
-1.907826,0.000000
-0.000000,0.000000
-2.400470,0.000000
-0.000000,0.000000
-0.892259,0.000000
-0.000000,0.000000
-0.712647,0.000000
0.000000,0.000000
-0.174338,0.000000
-0.000000,0.000000
-1.220033,0.000000
0.000000,0.000000
-0.944228,0.000000
0.000000,0.000000
-0.533313,0.000000
-0.000000,0.000000
-0.116325,0.000000
0.000000,0.000000
-0.459871,0.000000
-0.000000,0.000000
-0.288921,0.000000
-0.000000,0.000000
-0.300495,0.000000
0.000000,0.000000
-0.235889,0.000000
-0.000000,0.000000
-0.672565,0.000000
-0.000000,0.000000
-1.505216,0.000000
-0.000000,0.000000
-0.729628,0.000000
-0.000000,0.000000
-0.245640,0.000000
0.000000,0.000000
-0.463021,0.000000
-0.000000,0.000000
-0.221537,0.000000
-0.000000,0.000000
-0.207535,0.000000
0.000000,0.000000
-0.111969,0.000000
-0.000000,0.000000
-0.382793,0.000000
0.000000,0.000000
-0.481819,0.000000
0.000000,0.000000
-0.294478,0.000000
-0.000000,0.000000
-0.130487,0.000000
0.000000,0.000000
-0.287139,0.000000
-0.000000,0.000000
-0.254446,0.000000
-0.000000,0.000000
-0.254397,0.000000
0.000000,0.000000
-0.256149,0.000000
-0.000000,0.000000
-0.508585,0.000000
-0.000000,0.000000
-5.736752,0.000000
-0.000000,0.000000
-2.473384,0.000000
-0.000000,0.000000
-0.851873,0.000000
0.000000,0.000000
-1.211722,0.000000
-0.000000,0.000000
-0.306957,0.000000
-0.000000,0.000000
-0.276711,0.000000
0.000000,0.000000
0.035767,0.000000
0.000000,0.000000
-0.611301,0.000000
0.000000,0.000000
-0.259354,0.000000
0.000000,0.000000
-0.156406,0.000000
-0.000000,0.000000
0.034308,0.000000
0.000000,0.000000
-0.155868,0.000000
0.000000,0.000000
-0.042859,0.000000
0.000000,0.000000
-0.074629,0.000000
0.000000,0.000000
-0.027359,0.000000
0.000000,0.000000
-0.322357,0.000000
0.000000,0.000000
-0.385981,0.000000
0.000000,0.000000
-0.188535,0.000000
-0.000000,0.000000
